        #Time(ps)        Na-x            Na-y            Na-z            P -x            P -y            P -z            S -x            S -y            S -z
    0.12319E+02        0.68025175E-02      0.12660064E-02      0.77481498E-02        0.15816674E-01
    0.12521E+02        0.69284186E-02      0.12296890E-02      0.76962078E-02        0.15854315E-01
    0.12723E+02        0.69861271E-02      0.11791881E-02      0.75820818E-02        0.15747397E-01
    0.12925E+02        0.69863545E-02      0.11259158E-02      0.74558819E-02        0.15568152E-01
    0.13127E+02        0.69729307E-02      0.10795602E-02      0.73637681E-02        0.15416259E-01
    0.13329E+02        0.69968472E-02      0.10429602E-02      0.73154759E-02        0.15355283E-01
    0.13531E+02        0.70962077E-02      0.10141535E-02      0.72928946E-02        0.15403256E-01
    0.13733E+02        0.72865625E-02      0.99029359E-03      0.72792536E-02        0.15556110E-01
    0.13935E+02        0.75582558E-02      0.96872343E-03      0.72790345E-02        0.15806014E-01
    0.14137E+02        0.78799807E-02      0.94683873E-03      0.73154351E-02        0.16142255E-01
    0.14339E+02        0.82071513E-02      0.92342403E-03      0.74065298E-02        0.16537105E-01
    0.14541E+02        0.84906760E-02      0.89973187E-03      0.75395729E-02        0.16929981E-01
    0.14743E+02        0.86870434E-02      0.87773854E-03      0.76689909E-02        0.17233773E-01
    0.14945E+02        0.87767316E-02      0.85727679E-03      0.77382756E-02        0.17372284E-01
    0.15146E+02        0.87825018E-02      0.83588163E-03      0.77041503E-02        0.17322534E-01
    0.15348E+02        0.87614035E-02      0.81190723E-03      0.75532707E-02        0.17126581E-01
    0.15550E+02        0.87671541E-02      0.78674052E-03      0.73113801E-02        0.16865275E-01
    0.15752E+02        0.88191362E-02      0.76244683E-03      0.70334355E-02        0.16615019E-01
    0.15954E+02        0.89085754E-02      0.73782993E-03      0.67721703E-02        0.16418576E-01
    0.16156E+02        0.90270152E-02      0.70903476E-03      0.65504644E-02        0.16286514E-01
    0.16358E+02        0.91796780E-02      0.67461829E-03      0.63603557E-02        0.16214652E-01
    0.16560E+02        0.93731168E-02      0.63860126E-03      0.61838042E-02        0.16195522E-01
    0.16762E+02        0.95994222E-02      0.60770016E-03      0.60152126E-02        0.16222335E-01
    0.16964E+02        0.98332762E-02      0.58601454E-03      0.58663114E-02        0.16285602E-01
    0.17166E+02        0.10036815E-01      0.57234232E-03      0.57485406E-02        0.16357698E-01
    0.17368E+02        0.10170739E-01      0.56171883E-03      0.56556456E-02        0.16388103E-01
    0.17570E+02        0.10217881E-01      0.54965153E-03      0.55735840E-02        0.16341117E-01
    0.17772E+02        0.10206690E-01      0.53602554E-03      0.55064503E-02        0.16249166E-01
    0.17974E+02        0.10204608E-01      0.52493130E-03      0.54792062E-02        0.16208745E-01
    0.18176E+02        0.10273183E-01      0.51986561E-03      0.55076887E-02        0.16300737E-01
    0.18378E+02        0.10417798E-01      0.51943026E-03      0.55719336E-02        0.16509162E-01
    0.18580E+02        0.10576502E-01      0.51843392E-03      0.56256711E-02        0.16720607E-01
    0.18782E+02        0.10662863E-01      0.51272450E-03      0.56325466E-02        0.16808134E-01
    0.18984E+02        0.10631544E-01      0.50237811E-03      0.55933226E-02        0.16727245E-01
    0.19186E+02        0.10506998E-01      0.49067927E-03      0.55394331E-02        0.16537111E-01
    0.19388E+02        0.10344288E-01      0.48075497E-03      0.55001590E-02        0.16325202E-01
    0.19589E+02        0.10166474E-01      0.47340019E-03      0.54760678E-02        0.16115942E-01
    0.19791E+02        0.99524160E-02      0.46752868E-03      0.54434619E-02        0.15863406E-01
    0.19993E+02        0.96816682E-02      0.46142283E-03      0.53794853E-02        0.15522576E-01
    0.20195E+02        0.93707613E-02      0.45317247E-03      0.52792430E-02        0.15103177E-01
    0.20397E+02        0.90582328E-02      0.44129221E-03      0.51540089E-02        0.14653534E-01
    0.20599E+02        0.87695113E-02      0.42610833E-03      0.50221694E-02        0.14217789E-01
    0.20801E+02        0.85065604E-02      0.41004744E-03      0.49027137E-02        0.13819322E-01
    0.21003E+02        0.82589429E-02      0.39563820E-03      0.48064805E-02        0.13461062E-01
    0.21205E+02        0.80116864E-02      0.38328275E-03      0.47239736E-02        0.13118943E-01
    0.21407E+02        0.77501762E-02      0.37160196E-03      0.46276947E-02        0.12749473E-01
    0.21609E+02        0.74715758E-02      0.36001210E-03      0.44998165E-02        0.12331404E-01
    0.21811E+02        0.71939746E-02      0.35026077E-03      0.43585880E-02        0.11902823E-01
    0.22013E+02        0.69503836E-02      0.34493564E-03      0.42481764E-02        0.11543496E-01
    0.22215E+02        0.67680052E-02      0.34474673E-03      0.41986768E-02        0.11311429E-01
    0.22417E+02        0.66441693E-02      0.34756829E-03      0.41975039E-02        0.11189241E-01
    0.22619E+02        0.65395210E-02      0.34984673E-03      0.41985914E-02        0.11087959E-01
    0.22821E+02        0.64038618E-02      0.34883108E-03      0.41591585E-02        0.10911851E-01
    0.23023E+02        0.62172598E-02      0.34410603E-03      0.40728778E-02        0.10634244E-01
    0.23225E+02        0.60050154E-02      0.33758930E-03      0.39725751E-02        0.10315180E-01
    0.23427E+02        0.58090592E-02      0.33179674E-03      0.39009204E-02        0.10041776E-01
    0.23629E+02        0.56463156E-02      0.32757820E-03      0.38771064E-02        0.98510001E-02
    0.23830E+02        0.54989424E-02      0.32359528E-03      0.38901558E-02        0.97126934E-02
    0.24032E+02        0.53424105E-02      0.31818582E-03      0.39179386E-02        0.95785350E-02
    0.24234E+02        0.51726648E-02      0.31129811E-03      0.39456144E-02        0.94295773E-02
    0.24436E+02        0.50009641E-02      0.30420503E-03      0.39691902E-02        0.92743594E-02
    0.24638E+02        0.48300145E-02      0.29776520E-03      0.39929447E-02        0.91207244E-02
    0.24840E+02        0.46460030E-02      0.29153757E-03      0.40296535E-02        0.89671941E-02
    0.25042E+02        0.44363516E-02      0.28443642E-03      0.40986784E-02        0.88194664E-02
    0.25244E+02        0.42075821E-02      0.27576410E-03      0.42148681E-02        0.86982143E-02
    0.25446E+02        0.39785098E-02      0.26559758E-03      0.43749438E-02        0.86190512E-02
    0.25648E+02        0.37608692E-02      0.25462194E-03      0.45569565E-02        0.85724477E-02
    0.25850E+02        0.35563015E-02      0.24383819E-03      0.47371243E-02        0.85372640E-02
    0.26052E+02        0.33698330E-02      0.23423020E-03      0.49097806E-02        0.85138437E-02
    0.26254E+02        0.32153443E-02      0.22647682E-03      0.50907384E-02        0.85325595E-02
    0.26456E+02        0.31044602E-02      0.22091116E-03      0.52991445E-02        0.86245159E-02
    0.26658E+02        0.30342533E-02      0.21756183E-03      0.55363329E-02        0.87881481E-02
    0.26860E+02        0.29874020E-02      0.21597055E-03      0.57821145E-02        0.89854871E-02
    0.27062E+02        0.29430203E-02      0.21509153E-03      0.60053289E-02        0.91634408E-02
    0.27264E+02        0.28881450E-02      0.21377119E-03      0.61754111E-02        0.92773272E-02
    0.27466E+02        0.28218052E-02      0.21144786E-03      0.62728928E-02        0.93061459E-02
    0.27668E+02        0.27512544E-02      0.20828383E-03      0.62958308E-02        0.92553690E-02
    0.27870E+02        0.26857541E-02      0.20476475E-03      0.62530043E-02        0.91435232E-02
    0.28071E+02        0.26317940E-02      0.20145415E-03      0.61501568E-02        0.89834050E-02
    0.28273E+02        0.25902322E-02      0.19909551E-03      0.59873706E-02        0.87766983E-02
    0.28475E+02        0.25558598E-02      0.19856903E-03      0.57689668E-02        0.85233956E-02
    0.28677E+02        0.25194958E-02      0.20042121E-03      0.55110427E-02        0.82309597E-02
    0.28879E+02        0.24712078E-02      0.20445683E-03      0.52383831E-02        0.79140477E-02
    0.29081E+02        0.24038935E-02      0.20996690E-03      0.49749221E-02        0.75887826E-02
    0.29283E+02        0.23166696E-02      0.21633343E-03      0.47343966E-02        0.72673996E-02
    0.29485E+02        0.22157628E-02      0.22334371E-03      0.45157982E-02        0.69549047E-02
    0.29687E+02        0.21112256E-02      0.23108441E-03      0.43077234E-02        0.66500335E-02
    0.29889E+02        0.20116527E-02      0.23967084E-03      0.41007263E-02        0.63520498E-02
    0.30091E+02        0.19212026E-02      0.24900274E-03      0.38978676E-02        0.60680729E-02
    0.30293E+02        0.18402863E-02      0.25888017E-03      0.37140135E-02        0.58131800E-02
    0.30495E+02        0.17670121E-02      0.26965401E-03      0.35657300E-02        0.56023961E-02
    0.30697E+02        0.16971469E-02      0.28262775E-03      0.34609136E-02        0.54406882E-02
    0.30899E+02        0.16245189E-02      0.29925472E-03      0.33945321E-02        0.53183057E-02
    0.31101E+02        0.15443436E-02      0.31986695E-03      0.33541018E-02        0.52183123E-02
    0.31303E+02        0.14575590E-02      0.34381686E-03      0.33350109E-02        0.51363868E-02
    0.31505E+02        0.13712636E-02      0.37117560E-03      0.33531953E-02        0.50956345E-02
    0.31707E+02        0.12938900E-02      0.40392553E-03      0.34394601E-02        0.51372756E-02
    0.31909E+02        0.12295981E-02      0.44534340E-03      0.36207298E-02        0.52956713E-02
    0.32111E+02        0.11764747E-02      0.49851322E-03      0.39087159E-02        0.55837038E-02
    0.32312E+02        0.11286522E-02      0.56545793E-03      0.43040578E-02        0.59981680E-02
    0.32514E+02        0.10802642E-02      0.64765120E-03      0.48091486E-02        0.65370640E-02
    0.32716E+02        0.10293704E-02      0.74796663E-03      0.54431843E-02        0.72205213E-02
    0.32918E+02        0.97947006E-03      0.87260194E-03      0.62512759E-02        0.81033479E-02
    0.33120E+02        0.93686488E-03      0.10298486E-02      0.72915088E-02        0.92582224E-02
    0.33322E+02        0.90579572E-03      0.12244838E-02      0.85955995E-02        0.10725879E-01
    0.33524E+02        0.88613021E-03      0.14519231E-02      0.10131464E-01        0.12469517E-01
    0.33726E+02        0.87585437E-03      0.16978369E-02      0.11802075E-01        0.14375766E-01
    0.33928E+02        0.87468815E-03      0.19426627E-02      0.13472259E-01        0.16289610E-01
    0.34130E+02        0.88363576E-03      0.21642352E-02      0.14981775E-01        0.18029646E-01
    0.34332E+02        0.90110738E-03      0.23356697E-02      0.16137189E-01        0.19373966E-01
